patch,date,week,day,game_of_day,team_blue,team_red,winner,time,kills_team_blue,assists_team_blue,deaths_team_blue,gold_team_blue,turrets_team_blue,dragons_team_blue,barons_team_blue,kills_team_red,assists_team_red,deaths_team_red,gold_team_red,turrets_team_red,dragons_team_red,barons_team_red,top_team_blue,jungle_team_blue,mid_team_blue,bot_team_blue,sup_team_blue,top_team_red,jungle_team_red,mid_team_red,bot_team_red,sup_team_red,pick_1_team_blue,pick_2_team_blue,pick_3_team_blue,pick_4_team_blue,pick_5_team_blue,pick_1_team_red,pick_2_team_red,pick_3_team_red,pick_4_team_red,pick_5_team_red,ban_1_team_blue,ban_2_team_blue,ban_3_team_blue,ban_4_team_blue,ban_5_team_blue,ban_1_team_red,ban_2_team_red,ban_3_team_red,ban_4_team_red,ban_5_team_red
v15.1,2025-01-18,1,1,1,TH,RGE,RGE,00:38:43,3,6,11,61709,4,2,0,11,36,3,73092,11,4,2,KSante,Sejuani,Viktor,Zeri,Rell,Garen,Maokai,Orianna,Varus,Alistar,Viktor,Sejuani,KSante,Zeri,Rell,Varus,Maokai,Orianna,Garen,Alistar,Kalista,Azir,Aurora,Renata Glasc,Wukong,Skarner,Vi,Corki,Ashe,Ezreal
v15.1,2025-01-18,1,1,2,VIT,BDS,VIT,00:32:30,17,51,7,62609,10,1,1,7,18,17,51140,3,3,0,Jax,Ivern,Taliyah,Corki,Alistar,Renekton,Sejuani,Azir,Miss Fortune,Rell,Corki,Ivern,Jax,Taliyah,Alistar,Renekton,Sejuani,Azir,Rell,Miss Fortune,Varus,KSante,Maokai,Ashe,Blitzcrank,Skarner,Viktor,Elise,Leona,Kalista
v15.1,2025-01-18,1,1,3,GX,SK,GX,00:33:07,19,50,5,67444,10,1,1,5,13,19,55010,4,3,0,Jax,Maokai,Viktor,Ezreal,Rell,Jayce,Xin Zhao,Galio,Jinx,Braum,Viktor,Jax,Maokai,Rell,Ezreal,Jayce,Xin Zhao,Galio,Jinx,Braum,Kalista,Vi,Rumble,Ashe,Varus,Skarner,Corki,Gnar,Rakan,Poppy
v15.1,2025-01-18,1,1,4,MKOI,FNC,MKOI,00:30:07,19,57,2,59793,10,4,1,2,5,19,46994,1,0,0,KSante,Skarner,Azir,Varus,Rell,Jax,Ivern,Viktor,Miss Fortune,Alistar,Skarner,Varus,Rell,Azir,KSante,Miss Fortune,Ivern,Viktor,Alistar,Jax,Poppy,Ezreal,Aurora,Ornn,Gnar,Kalista,Zyra,Corki,Akali,Yone
v15.1,2025-01-18,1,1,5,KC,G2,KC,00:37:40,22,56,13,75282,10,5,1,13,20,22,65185,3,1,0,Jayce,Sejuani,Viktor,Ezreal,Alistar,Gragas,Wukong,Akali,Miss Fortune,Rell,Viktor,Ezreal,Sejuani,Alistar,Jayce,Miss Fortune,Wukong,Akali,Rell,Gragas,Azir,Maokai,Kalista,Ambessa,Gnar,Skarner,Vi,Varus,Poppy,Braum
v15.1,2025-01-19,1,2,1,TH,SK,TH,00:33:52,18,40,6,67802,11,2,2,6,21,19,58165,5,2,0,Jax,Maokai,Viktor,Ezreal,Leona,Jayce,Xin Zhao,Galio,Varus,Rell,Viktor,Maokai,Ezreal,Jax,Leona,Varus,Galio,Xin Zhao,Jayce,Rell,Rumble,Aurora,Vi,Ambessa,Renata Glasc,Skarner,Corki,Kalista,KSante,Braum
v15.1,2025-01-19,1,2,2,RGE,GX,GX,00:59:18,27,81,28,107341,8,2,2,27,69,27,113249,10,7,2,Renekton,Sejuani,Azir,Corki,Leona,Rumble,Vi,Yone,Kaisa,Rell,Corki,Sejuani,Azir,Renekton,Leona,Rumble,Vi,Yone,Kaisa,Rell,Varus,Jax,Ezreal,Ziggs,Caitlyn,Viktor,Skarner,Kalista,KSante,Poppy
v15.1,2025-01-19,1,2,3,MKOI,KC,KC,00:36:31,11,24,22,60200,3,2,1,22,60,11,70821,8,4,0,KSante,Xin Zhao,Ahri,Kalista,Renata Glasc,Rumble,Maokai,Corki,Varus,Rell,Kalista,Renata Glasc,KSante,Xin Zhao,Ahri,Corki,Maokai,Varus,Rumble,Rell,Ezreal,Caitlyn,Vi,Pyke,Seraphine,Azir,Skarner,Viktor,Orianna,Sylas
v15.1,2025-01-19,1,2,4,G2,BDS,BDS,00:31:43,10,21,12,54393,3,2,0,12,45,10,58004,8,3,1,Ambessa,Vi,Sylas,Kalista,Renata Glasc,KSante,Sejuani,Orianna,Varus,Seraphine,Vi,Kalista,Renata Glasc,Ambessa,Sylas,KSante,Varus,Sejuani,Seraphine,Orianna,Zyra,Maokai,Gnar,Cassiopeia,Neeko,Skarner,Corki,Viktor,Aurora,Gragas
v15.1,2025-01-19,1,2,5,FNC,VIT,FNC,00:28:41,29,57,9,63236,10,2,1,9,13,29,47176,3,1,0,Rumble,Skarner,Yone,Ezreal,Rell,Ambessa,Ivern,Azir,Corki,Leona,Skarner,Ezreal,Rell,Rumble,Yone,Ivern,Azir,Corki,Leona,Ambessa,Maokai,Elise,Kalista,Alistar,Jax,Viktor,KSante,Poppy,Taliyah,Orianna
v15.1,2025-01-20,1,3,1,BDS,RGE,BDS,00:38:32,24,69,8,73033,10,4,1,8,19,24,60635,2,2,0,KSante,Maokai,Hwei,Corki,Rell,Olaf,Sejuani,Cassiopeia,Kalista,Leona,Corki,Maokai,KSante,Rell,Hwei,Kalista,Sejuani,Olaf,Cassiopeia,Leona,Garen,Azir,Orianna,Renata Glasc,Alistar,Skarner,Viktor,Varus,Ezreal,Jinx
v15.1,2025-01-20,1,3,2,TH,FNC,FNC,00:25:28,4,7,20,39037,0,0,0,20,50,4,54189,9,3,0,Renekton,Ivern,Viktor,Corki,Leona,Jayce,Maokai,Hwei,Varus,Rell,Viktor,Ivern,Corki,Leona,Renekton,Maokai,Varus,Rell,Hwei,Jayce,Aurora,Kalista,Poppy,Yone,Azir,Skarner,KSante,Vi,Alistar,Jax
v15.1,2025-01-20,1,3,3,MKOI,VIT,MKOI,00:37:10,15,41,12,72839,10,3,1,12,33,16,65230,4,3,0,KSante,Zyra,Yone,Corki,Rell,Ambessa,Vi,Ahri,Ezreal,Rakan,Corki,Zyra,KSante,Rell,Yone,Vi,Ezreal,Rakan,Ambessa,Ahri,Elise,Kalista,Viktor,Gnar,Jax,Azir,Skarner,Maokai,Nautilus,Varus
v15.1,2025-01-20,1,3,4,G2,SK,G2,00:28:21,19,54,6,59011,9,4,1,6,13,19,44394,3,0,0,Poppy,Xin Zhao,Viktor,Draven,Rell,KSante,Nidalee,Yone,Corki,Leona,Viktor,Draven,Xin Zhao,Rell,Poppy,Corki,Nidalee,Yone,KSante,Leona,Rumble,Vi,Varus,Renekton,Braum,Skarner,Kalista,Maokai,Gnar,Nautilus
v15.1,2025-01-20,1,3,5,GX,KC,GX,00:37:20,11,22,2,75582,11,4,2,2,5,11,61668,2,2,0,KSante,Sejuani,Yone,Corki,Poppy,Ambessa,Vi,Taliyah,Varus,Renata Glasc,Corki,Sejuani,KSante,Yone,Poppy,Varus,Vi,Ambessa,Taliyah,Renata Glasc,Kalista,Rumble,Maokai,Aurora,Ahri,Skarner,Viktor,Jax,Ziggs,Sylas
v15.2,2025-01-25,2,1,1,RGE,FNC,FNC,00:37:20,8,18,10,64228,5,3,1,10,24,8,69246,8,3,1,KSante,Xin Zhao,Orianna,Varus,Rell,Ambessa,Vi,Corki,Kaisa,Galio,Varus,KSante,Rell,Xin Zhao,Orianna,Corki,Vi,Kaisa,Ambessa,Galio,Maokai,Poppy,Ezreal,Rumble,Rakan,Skarner,Kalista,Viktor,Azir,Cassiopeia
v15.2,2025-01-25,2,1,2,BDS,TH,TH,00:39:37,12,25,19,67367,5,2,0,19,53,12,72458,7,4,1,Renekton,Sejuani,Corki,Ezreal,Alistar,KSante,Zyra,Smolder,Varus,Rell,Sejuani,Corki,Ezreal,Alistar,Renekton,KSante,Varus,Rell,Zyra,Smolder,Jayce,Vi,Ivern,Orianna,Wukong,Skarner,Maokai,Viktor,Rumble,Gnar
v15.2,2025-01-25,2,1,3,GX,MKOI,MKOI,00:39:40,16,41,15,67101,5,1,1,15,43,16,72362,11,4,1,KSante,Sejuani,Akali,Ezreal,Poppy,Ambessa,Vi,Taliyah,Corki,Braum,KSante,Ezreal,Sejuani,Poppy,Akali,Vi,Corki,Ambessa,Taliyah,Braum,Azir,Zyra,Kalista,Kaisa,Orianna,Skarner,Viktor,Maokai,Yone,Sylas
v15.2,2025-01-25,2,1,4,VIT,G2,G2,00:47:21,13,29,18,82243,5,5,1,18,28,13,87106,11,2,2,Rumble,Maokai,Corki,Jhin,Rell,KSante,Brand,Smolder,Varus,Alistar,Maokai,Corki,Rell,Jhin,Rumble,Varus,KSante,Alistar,Brand,Smolder,Draven,Renata Glasc,Zyra,Taliyah,Azir,Skarner,Vi,Viktor,Orianna,Jax
v15.2,2025-01-25,2,1,5,KC,SK,KC,00:22:29,14,42,5,46551,8,1,0,5,11,14,36632,2,2,0,Gragas,Zyra,Corki,Draven,Rell,Rumble,Sejuani,Yone,Kalista,Renata Glasc,Corki,Zyra,Draven,Rell,Gragas,Kalista,Sejuani,Renata Glasc,Yone,Rumble,Varus,KSante,Vi,Smolder,Ambessa,Skarner,Viktor,Maokai,Pyke,Blitzcrank
v15.2,2025-01-26,2,2,1,GX,TH,GX,00:30:04,16,38,5,61336,11,4,1,5,12,16,50434,3,1,0,KSante,Vi,Azir,Varus,Rell,Ambessa,Xin Zhao,Viktor,Corki,Renata Glasc,KSante,Vi,Varus,Rell,Azir,Corki,Viktor,Ambessa,Xin Zhao,Renata Glasc,Zyra,Maokai,Kalista,Poppy,Wukong,Skarner,Rumble,Sejuani,Akali,Hwei
v15.2,2025-01-26,2,2,2,SK,VIT,VIT,00:31:55,12,16,14,55807,5,1,0,14,27,12,61403,10,4,1,Jayce,Sejuani,Viktor,Ezreal,Elise,Gragas,Wukong,Azir,Varus,Braum,Viktor,Ezreal,Sejuani,Jayce,Elise,Varus,Wukong,Azir,Braum,Gragas,Ivern,Kalista,KSante,Rakan,Rell,Skarner,Maokai,Rumble,Poppy,Alistar
v15.2,2025-01-26,2,2,3,FNC,G2,FNC,00:27:17,16,39,10,55431,8,2,1,10,19,16,45566,3,2,0,Jayce,Maokai,Azir,Ezreal,Leona,Renekton,Xin Zhao,Sylas,Varus,Rakan,Maokai,Ezreal,Azir,Jayce,Leona,Varus,Xin Zhao,Sylas,Renekton,Rakan,Draven,KSante,Kalista,Renata Glasc,Rell,Skarner,Vi,Viktor,Jax,Poppy
v15.2,2025-01-26,2,2,4,KC,RGE,KC,00:27:01,25,56,6,60459,13,3,0,6,11,25,43939,4,1,0,Jayce,Xin Zhao,Viktor,Draven,Leona,Jax,Sejuani,Sylas,Kalista,Rell,Viktor,Xin Zhao,Draven,Leona,Jayce,Kalista,Sejuani,Rell,Sylas,Jax,Azir,KSante,Vi,Ambessa,Akali,Skarner,Maokai,Corki,Poppy,Renata Glasc
v15.2,2025-01-26,2,2,5,BDS,MKOI,MKOI,00:29:50,5,10,16,48768,1,0,0,16,29,5,61727,11,3,1,KSante,Sejuani,Viktor,Jinx,Rell,Ambessa,Zyra,Yone,Ezreal,Leona,KSante,Viktor,Sejuani,Rell,Jinx,Ambessa,Zyra,Yone,Ezreal,Leona,Corki,Vi,Jayce,Kalista,Braum,Skarner,Maokai,Varus,Alistar,Ashe
v15.2,2025-01-27,2,3,1,VIT,RGE,VIT,00:35:10,18,45,8,69938,9,3,1,8,21,18,58558,4,3,0,KSante,Wukong,Viktor,Nilah,Rell,Ambessa,Vi,Galio,Varus,Rakan,Viktor,KSante,Wukong,Nilah,Rell,Varus,Vi,Ambessa,Rakan,Galio,Azir,Garen,Maokai,Orianna,Nautilus,Skarner,Kalista,Ezreal,Xayah,Corki
v15.2,2025-01-27,2,3,2,FNC,BDS,FNC,00:43:52,16,46,13,80669,8,4,1,13,25,16,73686,6,3,1,Rumble,Vi,Smolder,Kalista,Rell,Renekton,Nidalee,Jayce,Varus,Braum,Vi,Kalista,Rell,Rumble,Smolder,Varus,Nidalee,Renekton,Braum,Jayce,Zyra,KSante,Poppy,Alistar,Corki,Skarner,Maokai,Ezreal,Orianna,Ambessa
v15.2,2025-01-27,2,3,3,G2,GX,G2,00:27:22,16,32,4,56255,11,4,1,4,9,16,43589,1,0,0,KSante,Zyra,Corki,Miss Fortune,Nautilus,Jayce,Nidalee,Smolder,Varus,Leona,KSante,Zyra,Corki,Miss Fortune,Nautilus,Varus,Jayce,Nidalee,Leona,Smolder,Rumble,Vi,Viktor,Braum,Rell,Skarner,Draven,Maokai,Kalista,Ezreal
v15.2,2025-01-27,2,3,4,KC,TH,KC,00:37:07,26,55,10,75536,11,4,1,10,24,26,61183,2,2,0,Gnar,Xin Zhao,Viktor,Ezreal,Leona,Jax,Sejuani,Hwei,Varus,Braum,Viktor,Xin Zhao,Ezreal,Leona,Gnar,Varus,Sejuani,Hwei,Jax,Braum,KSante,Vi,Smolder,Ambessa,Rell,Skarner,Maokai,Kalista,Jayce,Gragas
v15.2,2025-01-27,2,3,5,SK,MKOI,MKOI,00:27:54,1,0,17,43792,2,0,0,17,37,1,58502,9,3,1,Jax,Sejuani,Viktor,Ezreal,Rakan,Ambessa,Vi,Hwei,Corki,Nautilus,Viktor,Sejuani,Ezreal,Rakan,Jax,Corki,Vi,Ambessa,Hwei,Nautilus,Zyra,Kalista,KSante,Azir,Orianna,Skarner,Maokai,Rumble,Renekton,Jayce
v15.2,2025-02-01,3,1,1,SK,BDS,BDS,00:29:00,8,21,20,47838,2,1,0,20,47,8,61678,9,3,1,KSante,Xin Zhao,Viktor,Ashe,Braum,Rumble,Nidalee,Jayce,Varus,Rell,KSante,Viktor,Xin Zhao,Ashe,Braum,Nidalee,Varus,Jayce,Rell,Rumble,Zyra,Ambessa,Gnar,Jax,Poppy,Skarner,Maokai,,Ezreal,Kalista
v15.2,2025-02-01,3,1,2,GX,FNC,FNC,00:28:33,13,35,24,46885,2,0,0,24,54,13,59787,9,4,1,Jayce,Vi,Aurora,Ezreal,Alistar,Ambessa,Maokai,Corki,Kaisa,Leona,Vi,Ezreal,Aurora,Alistar,Jayce,Maokai,Corki,Kaisa,Leona,Ambessa,Azir,Poppy,Varus,Galio,Rell,Skarner,KSante,Kalista,Braum,Rakan
v15.2,2025-02-01,3,1,3,RGE,G2,G2,00:32:06,8,14,12,51757,3,2,0,12,30,8,62608,11,3,1,Jayce,Maokai,Galio,Corki,Braum,Chogath,Vi,Ahri,Ezreal,Leona,Maokai,Jayce,Corki,Braum,Galio,Vi,Ezreal,Leona,Ahri,Chogath,Zyra,Kalista,Draven,Gragas,Ambessa,Skarner,KSante,Azir,Rell,Poppy
v15.2,2025-02-01,3,1,4,TH,MKOI,TH,00:38:27,22,57,21,73590,8,2,1,21,40,22,68229,7,3,1,KSante,Lillia,Corki,Draven,Rell,Ambessa,Nidalee,Jayce,Ezreal,Braum,Corki,KSante,Lillia,Draven,Rell,Ezreal,Nidalee,Ambessa,Jayce,Braum,Zyra,Vi,Kalista,Azir,Yone,Skarner,Maokai,Varus,,Smolder
v15.2,2025-02-01,3,1,5,VIT,KC,KC,00:38:59,14,34,21,66902,4,1,1,21,59,14,76597,10,5,1,Jayce,Wukong,Viktor,Varus,Braum,Ambessa,Sejuani,Corki,Kalista,Rell,Viktor,Varus,Wukong,Jayce,Braum,Corki,Kalista,Sejuani,Rell,Ambessa,Zyra,Ezreal,Yone,Rumble,Gragas,Skarner,KSante,Maokai,Poppy,Alistar
v15.2,2025-02-02,3,2,1,RGE,SK,SK,00:30:48,3,7,13,49379,3,0,0,13,43,3,61350,10,4,1,Jayce,Sejuani,Azir,Varus,Rell,Ornn,Wukong,Orianna,Ezreal,Rakan,Varus,Jayce,Azir,Rell,Sejuani,Ezreal,Wukong,Rakan,Orianna,Ornn,Kalista,Vi,Nidalee,Ambessa,LeBlanc,Skarner,Maokai,Viktor,Poppy,Elise
v15.2,2025-02-02,3,2,2,BDS,GX,GX,00:41:34,13,41,18,70856,4,4,0,18,50,13,77756,8,2,2,Rumble,Maokai,Ambessa,Varus,Leona,Renekton,Nocturne,Orianna,Kalista,Gragas,Maokai,Varus,Ambessa,Rumble,Leona,Orianna,Kalista,Nocturne,Renekton,Gragas,KSante,Vi,Sejuani,Renata Glasc,Rell,Skarner,Zyra,Nidalee,Galio,Poppy
v15.2,2025-02-02,3,2,3,FNC,KC,FNC,00:27:26,26,71,5,59993,12,4,1,5,13,26,44383,2,0,0,Ambessa,Vi,Aurora,Kaisa,Rakan,Poppy,Xin Zhao,Azir,Ezreal,Leona,Vi,Kaisa,Ambessa,Rakan,Aurora,Ezreal,Xin Zhao,Azir,Leona,Poppy,Jayce,Zyra,Kalista,Rell,Renekton,Skarner,KSante,Maokai,Rumble,Taliyah
v15.2,2025-02-02,3,2,4,TH,VIT,VIT,00:32:29,3,6,13,51236,1,0,0,13,24,3,64950,11,4,1,Jayce,Taliyah,Smolder,Varus,Rell,Ambessa,Zyra,Yone,Corki,Rakan,Varus,Rell,Smolder,Taliyah,Jayce,Zyra,Corki,Ambessa,Rakan,Yone,Vi,Viktor,Kalista,Ezreal,Jhin,KSante,Skarner,Maokai,Renekton,Karthus
v15.2,2025-02-02,3,2,5,G2,MKOI,G2,00:29:28,24,56,9,61978,9,3,1,9,16,24,51570,5,1,0,Ornn,Wukong,Aurora,Ezreal,Leona,Gwen,Vi,Taliyah,Varus,Rakan,Ezreal,Wukong,Leona,Ornn,Aurora,Varus,Vi,Rakan,Taliyah,Gwen,Jayce,Zyra,KSante,Ambessa,Gnar,Skarner,Kalista,Draven,Maokai,Viktor
v15.2,2025-02-03,3,3,1,VIT,GX,VIT,00:31:24,19,47,9,63488,11,2,1,9,16,19,49747,0,2,0,Jayce,Maokai,Azir,Ezreal,Rell,Sion,Zyra,Corki,Miss Fortune,Leona,Maokai,Ezreal,Jayce,Rell,Azir,Corki,Zyra,Leona,Miss Fortune,Sion,Yone,Kalista,Rumble,Ambessa,Varus,Skarner,Vi,KSante,Braum,Rakan
v15.2,2025-02-03,3,3,2,MKOI,RGE,MKOI,00:32:32,25,56,10,69183,10,2,1,10,20,25,54703,2,2,0,Jayce,Sejuani,Corki,Ziggs,Rell,Sion,Xin Zhao,Viktor,Varus,Alistar,Corki,Ziggs,Rell,Jayce,Sejuani,Varus,Xin Zhao,Alistar,Viktor,Sion,Azir,Kalista,Vi,Poppy,KSante,Skarner,Zyra,Maokai,Nidalee,Lillia
v15.2,2025-02-03,3,3,3,KC,BDS,BDS,00:28:59,5,11,18,49016,5,0,0,18,46,5,57031,8,4,1,Jayce,Nidalee,Yone,Kaisa,Leona,Ornn,Zyra,Aurora,Ezreal,Rell,Jayce,Nidalee,Leona,Kaisa,Yone,Ezreal,Zyra,Rell,Ornn,Aurora,Varus,Ambessa,KSante,Corki,Sion,Skarner,Maokai,Vi,Jhin,Kalista
v15.2,2025-02-03,3,3,4,G2,TH,G2,00:27:56,21,52,8,56505,9,1,0,8,16,21,45397,2,2,0,Chogath,Vi,Ahri,Ezreal,Leona,Maokai,Wukong,Sylas,Corki,Rakan,Ezreal,Vi,Leona,Chogath,Ahri,Maokai,Corki,Rakan,Wukong,Sylas,Braum,Zyra,KSante,Ambessa,Gnar,Skarner,Kalista,Draven,Aurora,Taliyah
v15.2,2025-02-03,3,3,5,SK,FNC,FNC,00:28:55,3,6,21,45639,3,0,0,21,46,3,62099,11,4,1,Ornn,Diana,Corki,Varus,Poppy,Gnar,Zyra,Yone,Ezreal,Rell,Corki,Diana,Varus,Poppy,Ornn,Ezreal,Zyra,Rell,Yone,Gnar,Vi,Kalista,Ambessa,Jayce,Smolder,Skarner,KSante,Maokai,Rakan,Leona
